model,task,source,target,pd,pf,f_measure,g_mesure,balance,MCC, AUC
LDJDA,JDT==>EQ,JDT,EQ,0.51163,0.14872,0.5401,0.63913,0.63901,0.39024,0.6749,
LDJDA,LC==>EQ,LC,EQ,0.49612,0.14359,0.52632,0.62828,0.62952,0.38272,0.66822,
LDJDA,ML==>EQ,ML,EQ,0.49612,0.13846,0.52718,0.62966,0.6305,0.38957,0.66869,
LDJDA,PDE==>EQ,PDE,EQ,0.47287,0.14359,0.50413,0.60931,0.61368,0.36112,0.65061,
LDJDA,EQ==>JDT,EQ,JDT,0.67476,0.16814,0.63412,0.74512,0.7411,0.46052,0.75173,
LDJDA,LC==>JDT,LC,JDT,0.6699,0.16688,0.63071,0.74265,0.73845,0.45831,0.79272,
LDJDA,ML==>JDT,ML,JDT,0.6699,0.16308,0.63245,0.74415,0.73965,0.4634,0.75143,
LDJDA,PDE==>JDT,PDE,JDT,0.68447,0.16941,0.64149,0.75048,0.74676,0.4666,0.7575,
LDJDA,EQ==>LC,EQ,LC,0.71875,0.23923,0.50885,0.73916,0.73891,0.30839,0.7335,
LDJDA,JDT==>LC,JDT,LC,0.71875,0.24242,0.50661,0.73765,0.73744,0.3054,0.74576,
LDJDA,ML==>LC,ML,LC,0.70313,0.23285,0.50336,0.73374,0.73321,0.30484,0.72969,
LDJDA,PDE==>LC,PDE,LC,0.71875,0.23923,0.50885,0.73916,0.73891,0.30839,0.7337,
LDJDA,EQ==>ML,EQ,ML,0.49796,0.22635,0.41553,0.60592,0.61059,0.20878,0.62315,
LDJDA,JDT==>ML,JDT,ML,0.49796,0.22635,0.41553,0.60592,0.61059,0.20878,0.6231,
LDJDA,LC==>ML,LC,ML,0.49796,0.22325,0.41695,0.60687,0.61149,0.21186,0.62457,
LDJDA,PDE==>ML,PDE,ML,0.49796,0.22944,0.41412,0.60497,0.60969,0.20573,0.62169,
LDJDA,EQ==>PDE,EQ,PDE,0.60287,0.25,0.49065,0.66844,0.66818,0.26707,0.6575,
LDJDA,JDT==>PDE,JDT,PDE,0.60287,0.25155,0.48989,0.66782,0.66759,0.26555,0.65549,
LDJDA,LC==>PDE,LC,PDE,0.60287,0.24845,0.49142,0.66905,0.66876,0.26859,0.65681,
LDJDA,ML==>PDE,ML,PDE,0.59809,0.25,0.48714,0.66548,0.66531,0.26361,0.65391,
