model,task,source,target,pd,pf,f_measure,g_mesure,balance,MCC, AUC
LDJDA,MW1==>CM1,MW1,CM1,0.52381,0.24211,0.42471,0.61948,0.62226,0.21031,0.69967
LDJDA,PC1==>CM1,PC1,CM1,0.52381,0.24561,0.42308,0.6183,0.62113,0.207,0.69791
LDJDA,PC3==>CM1,PC3,CM1,0.52381,0.24561,0.42308,0.6183,0.62113,0.207,0.69791
LDJDA,PC4==>CM1,PC4,CM1,0.52381,0.2386,0.42636,0.62064,0.62338,0.21366,0.70167
LDJDA,CM1==>MW1,CM1,MW1,0.66667,0.30531,0.46154,0.68039,0.68037,0.23489,0.7491
LDJDA,PC1==>MW1,PC1,MW1,0.66667,0.30088,0.46392,0.68251,0.68248,0.23842,0.75074
LDJDA,PC3==>MW1,PC3,MW1,0.66667,0.29646,0.46632,0.68461,0.68456,0.242,0.75221
LDJDA,PC4==>MW1,PC4,MW1,0.66667,0.30531,0.46154,0.68039,0.68037,0.23489,0.74943
LDJDA,CM1==>PC1,CM1,PC1,0.55738,0.2764,0.37281,0.6297,0.63101,0.17226,0.63843
LDJDA,MW1==>PC1,MW1,PC1,0.57377,0.27329,0.38462,0.64125,0.64198,0.18447,0.65093
LDJDA,PC3==>PC1,PC3,PC1,0.54098,0.27329,0.36424,0.62024,0.62225,0.16479,0.63392
LDJDA,PC4==>PC1,PC4,PC1,0.57377,0.2764,0.38293,0.64003,0.64079,0.18207,0.6496
LDJDA,CM1==>PC3,CM1,PC3,0.61194,0.25451,0.47786,0.67215,0.67185,0.25769,0.67511
LDJDA,MW1==>PC3,MW1,PC3,0.59701,0.25451,0.46729,0.66304,0.66298,0.24738,0.66859
LDJDA,PC1==>PC3,PC1,PC3,0.61194,0.25239,0.47897,0.67301,0.67267,0.25969,0.67629
LDJDA,PC4==>PC3,PC4,PC3,0.61194,0.25981,0.47509,0.66998,0.66978,0.25276,0.67265
LDJDA,CM1==>PC4,CM1,PC4,0.64122,0.28208,0.47458,0.67741,0.67729,0.24723,0.69888
LDJDA,MW1==>PC4,MW1,PC4,0.63359,0.27902,0.47106,0.67446,0.67434,0.24479,0.69593
LDJDA,PC1==>PC4,PC1,PC4,0.62595,0.28004,0.46538,0.66967,0.6696,0.23882,0.69061
LDJDA,PC3==>PC4,PC3,PC4,0.61832,0.278,0.46128,0.66615,0.66611,0.23548,0.68647
