model,task,source,target,pd,pf,f_measure,g_mesure,balance,MCC, AUC
LDJDA,ivy-1.1==>ant-1-3,ivy-1.1,ant-1-3,0.85,0.33333,0.64394,0.74725,0.74153,0.38429,0.77619,
LDJDA,ivy-2.0==>ant-1-3,ivy-2.0,ant-1-3,0.9,0.32381,0.68182,0.77221,0.76036,0.42856,0.81,
LDJDA,jedit-3.2==>ant-1-3,jedit-3.2,ant-1-3,0.4,0.22857,0.35714,0.52683,0.54599,0.144,0.82033,
LDJDA,jedit-4.0==>ant-1-3,jedit-4.0,ant-1-3,0.85,0.31429,0.65385,0.75907,0.75375,0.40089,0.8169,
LDJDA,jedit-4.1==>ant-1-3,jedit-4.1,ant-1-3,0.9,0.32381,0.68182,0.77221,0.76036,0.42856,0.81032,
LDJDA,jedit-4.2==>ant-1-3,jedit-4.2,ant-1-3,0.9,0.30476,0.69231,0.78448,0.7732,0.44544,0.82283,
LDJDA,log4j-1-0==>ant-1-3,log4j-1-0,ant-1-3,0.9,0.32381,0.68182,0.77221,0.76036,0.42856,0.81,
LDJDA,log4j-1-1==>ant-1-3,log4j-1-1,ant-1-3,0.9,0.32381,0.68182,0.77221,0.76036,0.42856,0.81,
LDJDA,lucene-2-0==>ant-1-3,lucene-2-0,ant-1-3,0.9,0.34286,0.67164,0.75963,0.74746,0.41233,0.82652,
LDJDA,lucene-2-2==>ant-1-3,lucene-2-2,ant-1-3,0.9,0.34286,0.67164,0.75963,0.74746,0.41233,0.829,
LDJDA,lucene-2-4==>ant-1-3,lucene-2-4,ant-1-3,0.9,0.34286,0.67164,0.75963,0.74746,0.41233,0.82284,
LDJDA,poi-1-5==>ant-1-3,poi-1-5,ant-1-3,0.5,0.54286,0.34014,0.47761,0.47813,-0.031505,0.66552,
LDJDA,poi-2-0==>ant-1-3,poi-2-0,ant-1-3,0.85,0.33333,0.64394,0.74725,0.74153,0.38429,0.86889,
LDJDA,poi-3-0==>ant-1-3,poi-3-0,ant-1-3,0.85,0.31429,0.65385,0.75907,0.75375,0.40089,0.7919,
LDJDA,synapse-1-0==>ant-1-3,synapse-1-0,ant-1-3,0.87167,0.34603,0.65129,0.74393,0.73292,0.38947,0.78963,
LDJDA,synapse-1-1==>ant-1-3,synapse-1-1,ant-1-3,0.85,0.33333,0.64394,0.74725,0.74153,0.38429,0.87881,
LDJDA,synapse-1-2==>ant-1-3,synapse-1-2,ant-1-3,0.85,0.32381,0.64885,0.7532,0.74766,0.39251,0.78759,
LDJDA,tomcat==>ant-1-3,tomcat,ant-1-3,0.9,0.31429,0.68702,0.77838,0.76679,0.43691,0.81827,
LDJDA,xerces-1-3==>ant-1-3,xerces-1-3,ant-1-3,0.9,0.32381,0.68182,0.77221,0.76036,0.42856,0.81,
LDJDA,xerces-1-4==>ant-1-3,xerces-1-4,ant-1-3,0.85,0.33333,0.64394,0.74725,0.74153,0.38429,0.77714,
LDJDA,ivy-1.1==>ant-1-6,ivy-1.1,ant-1-6,0.77174,0.25097,0.70437,0.76022,0.76012,0.47012,0.78022,
LDJDA,ivy-2.0==>ant-1-6,ivy-2.0,ant-1-6,0.76087,0.23938,0.7,0.76074,0.76074,0.47345,0.78068,
LDJDA,jedit-3.2==>ant-1-6,jedit-3.2,ant-1-6,0.77174,0.23938,0.70858,0.76614,0.76611,0.48261,0.78576,
LDJDA,jedit-4.0==>ant-1-6,jedit-4.0,ant-1-6,0.77174,0.23938,0.70858,0.76614,0.76611,0.48261,0.78576,
LDJDA,jedit-4.1==>ant-1-6,jedit-4.1,ant-1-6,0.77174,0.23552,0.71,0.76809,0.76808,0.48683,0.78668,
LDJDA,jedit-4.2==>ant-1-6,jedit-4.2,ant-1-6,0.77174,0.23166,0.71142,0.77004,0.77003,0.49108,0.78953,
LDJDA,log4j-1-0==>ant-1-6,log4j-1-0,ant-1-6,0.76087,0.24324,0.6986,0.75881,0.7588,0.46925,0.77934,
LDJDA,log4j-1-1==>ant-1-6,log4j-1-1,ant-1-6,0.76087,0.23552,0.7014,0.76267,0.76267,0.47769,0.78471,
LDJDA,lucene-2-0==>ant-1-6,lucene-2-0,ant-1-6,0.77174,0.25097,0.70437,0.76022,0.76012,0.47012,0.77938,
LDJDA,lucene-2-2==>ant-1-6,lucene-2-2,ant-1-6,0.77174,0.2471,0.70577,0.7622,0.76213,0.47425,0.78068,
LDJDA,lucene-2-4==>ant-1-6,lucene-2-4,ant-1-6,0.77174,0.2471,0.70577,0.7622,0.76213,0.47425,0.81085,
LDJDA,poi-1-5==>ant-1-6,poi-1-5,ant-1-6,0.77174,0.23552,0.71,0.76809,0.76808,0.48683,0.78647,
LDJDA,poi-2-0==>ant-1-6,poi-2-0,ant-1-6,0.77174,0.2278,0.71285,0.77197,0.77197,0.49537,0.78576,
LDJDA,poi-3-0==>ant-1-6,poi-3-0,ant-1-6,0.76087,0.22394,0.70565,0.76839,0.76834,0.49057,0.78475,
LDJDA,synapse-1-0==>ant-1-6,synapse-1-0,ant-1-6,0.79348,0.2471,0.72277,0.77265,0.77228,0.49257,0.78773,
LDJDA,synapse-1-1==>ant-1-6,synapse-1-1,ant-1-6,0.77174,0.2471,0.70577,0.7622,0.76213,0.47425,0.78252,
LDJDA,synapse-1-2==>ant-1-6,synapse-1-2,ant-1-6,0.77174,0.23938,0.70858,0.76614,0.76611,0.48261,0.78588,
LDJDA,tomcat==>ant-1-6,tomcat,ant-1-6,0.77174,0.23552,0.71,0.76809,0.76808,0.48683,0.78688,
LDJDA,xerces-1-3==>ant-1-6,xerces-1-3,ant-1-6,0.77174,0.25097,0.70437,0.76022,0.76012,0.47012,0.77824,
