%%-*- text -*-
%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
% This is a PROMISE data set made publicly available in order to encourage
% repeatable, verifiable, refutable, and/or improvable predictive models
% of software engineering.
%
% If you publish material based on PROMISE data sets then, please
% follow the acknowledgment guidelines posted on the PROMISE repository
% web page http://code.google.com/p/promisedata/ .
%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%

% 1. Title/Topic: PC4/ defect prediction
%
% (c) 2007 : Tim Menzies  : tim@menzies.us 
% This data set is distributed under the
% Creative Commons Attribution-Share Alike 3.0 License
% http://creativecommons.org/licenses/by-sa/3.0/
%
% You are free:
%
%    * to Share -- copy, distribute and transmit the work
%    * to Remix -- to adapt the work
%
% Under the following conditions:
%
% Attribution. You must attribute the work in the manner specified by
% the author or licensor (but not in any way that suggests that they endorse
% you or your use of the work).
%
% Share Alike. If you alter, transform, or build upon this work, you
% may distribute the resulting work only under the same, similar or a 
% compatible license.
%
%    * For any reuse or distribution, you must make clear to others the 
%      license terms of this work.
%    * Any of the above conditions can be waived if you get permission from 
%      the copyright holder.
%    * Apart from the remix rights granted under this license, nothing in 
%      this license impairs or restricts the author's moral rights.
 
% For more deatils on this data set, see 
% http://promisedata.org/repository/data/kc2/kc2.arff

@relation pc4
 
@attribute LOC_BLANK numeric
@attribute BRANCH_COUNT numeric
@attribute CALL_PAIRS numeric
@attribute LOC_CODE_AND_COMMENT numeric
@attribute LOC_COMMENTS numeric
@attribute CONDITION_COUNT numeric
@attribute CYCLOMATIC_COMPLEXITY numeric
@attribute CYCLOMATIC_DENSITY numeric
@attribute DECISION_COUNT numeric
@attribute DECISION_DENSITY numeric
@attribute DESIGN_COMPLEXITY numeric
@attribute DESIGN_DENSITY numeric
@attribute EDGE_COUNT numeric
@attribute ESSENTIAL_COMPLEXITY numeric
@attribute ESSENTIAL_DENSITY numeric
@attribute LOC_EXECUTABLE numeric
@attribute PARAMETER_COUNT numeric
@attribute HALSTEAD_CONTENT numeric
@attribute HALSTEAD_DIFFICULTY numeric
@attribute HALSTEAD_EFFORT numeric
@attribute HALSTEAD_ERROR_EST numeric
@attribute HALSTEAD_LENGTH numeric
@attribute HALSTEAD_LEVEL numeric
@attribute HALSTEAD_PROG_TIME numeric
@attribute HALSTEAD_VOLUME numeric
@attribute MAINTENANCE_SEVERITY numeric
@attribute MODIFIED_CONDITION_COUNT numeric
@attribute MULTIPLE_CONDITION_COUNT numeric
@attribute NODE_COUNT numeric
@attribute NORMALIZED_CYLOMATIC_COMPLEXITY numeric
@attribute NUM_OPERANDS numeric
@attribute NUM_OPERATORS numeric
@attribute NUM_UNIQUE_OPERANDS numeric
@attribute NUM_UNIQUE_OPERATORS numeric
@attribute NUMBER_OF_LINES numeric
@attribute PERCENT_COMMENTS numeric
@attribute LOC_TOTAL numeric
@attribute c {FALSE,TRUE}

@data

226,48,32,165,61,172,31,463,649,1112,8523.85,0.02,41.72,355647.88,2.84,19758.22,57,50,11,106,53,29,0.13,2.12,22,0.76,0.09,3,161,27,0.93,204.29,0.93,28,134,307,36.05,FALSE
31,7,5,27,4,14,18,34,74,108,540,0.05,21.86,11802.86,0.18,655.71,9,6,3,14,7,5,0.16,2.33,3,0.6,0.11,0,20,3,0.5,24.71,0.6,4,17,44,25,FALSE
24,7,0,22,2,23,9,37,44,81,405,0.14,7.24,2931.85,0.14,162.88,5,4,1,8,4,3,0.13,2,2,0.67,0.09,2,10,1,0,55.95,0.33,2,9,32,8.33,FALSE
41,9,22,27,14,19,18,29,64,93,484.48,0.07,13.74,6655.21,0.16,369.73,15,14,4,28,14,8,0.2,2,6,0.75,0.11,6,30,4,0.43,35.27,0.5,7,24,73,57.14,FALSE
17,8,14,15,2,11,17,19,33,52,249.98,0.07,14.68,3670.2,0.08,203.9,7,4,0,10,5,4,0.24,2.5,1,0.25,0.17,0,11,3,0.67,17.03,0.75,3,9,23,51.61,FALSE
69,39,14,60,9,67,26,114,217,331,2164.46,0.05,22.12,47876.6,0.72,2659.81,9,8,8,16,8,5,0.07,2,5,1,0.03,8,24,1,0,97.85,0.2,4,21,146,27.71,FALSE
14,5,12,10,4,6,10,8,18,26,104,0.15,6.67,693.33,0.03,38.52,3,2,1,4,2,2,0.14,2,2,1,0.06,3,5,1,0,15.6,0.5,1,5,32,61.54,FALSE
14,2,0,12,2,6,5,6,9,15,51.89,0.4,2.5,129.72,0.02,7.21,3,2,1,4,2,2,0.14,2,2,1,0.12,2,6,1,0,20.76,0.5,1,6,17,14.29,FALSE
47,14,39,47,0,55,21,82,68,150,937.19,0.06,15.65,14671.27,0.31,815.07,5,4,2,8,4,3,0.06,2,1,0.33,0.02,2,13,1,0,59.87,0.33,2,12,121,45.35,FALSE
18,6,1,17,1,15,17,24,44,68,340,0.07,13.6,4624,0.11,256.89,7,2,3,8,4,4,0.22,4,2,0.5,0.15,1,12,1,0,25,0.25,3,10,26,10.53,FALSE
40,21,22,30,10,37,25,75,118,193,1149.16,0.04,25.34,29117.23,0.38,1617.62,7,6,4,12,6,4,0.1,2,2,0.5,0.05,2,19,1,0,45.35,0.25,3,17,84,51.61,FALSE
75,32,23,59,16,74,26,126,223,349,2318.71,0.05,22.14,51324.87,0.77,2851.38,13,12,13,24,12,7,0.09,2,7,1,0.05,9,38,1,0,104.75,0.14,6,33,138,39.8,TRUE
33,25,21,22,11,20,21,38,56,94,503.61,0.05,19.95,10047.02,0.17,558.17,11,10,4,20,10,6,0.18,2,3,0.5,0.08,2,24,1,0,25.24,0.17,5,20,80,59.26,FALSE
15,3,0,15,0,5,14,22,32,54,229.39,0.03,30.8,7065.15,0.08,392.51,11,6,0,16,8,6,0.4,2.67,1,0.17,0.32,2,18,4,0.6,7.45,0.67,5,14,19,0,FALSE
