@relation MW1
 
@attribute LOC_BLANK numeric
@attribute BRANCH_COUNT numeric
@attribute CALL_PAIRS numeric
@attribute LOC_CODE_AND_COMMENT numeric
@attribute LOC_COMMENTS numeric
@attribute CONDITION_COUNT numeric
@attribute CYCLOMATIC_COMPLEXITY numeric
@attribute CYCLOMATIC_DENSITY numeric
@attribute DECISION_COUNT numeric
@attribute DECISION_DENSITY numeric
@attribute DESIGN_COMPLEXITY numeric
@attribute DESIGN_DENSITY numeric
@attribute EDGE_COUNT numeric
@attribute ESSENTIAL_COMPLEXITY numeric
@attribute ESSENTIAL_DENSITY numeric
@attribute LOC_EXECUTABLE numeric
@attribute PARAMETER_COUNT numeric
@attribute HALSTEAD_CONTENT numeric
@attribute HALSTEAD_DIFFICULTY numeric
@attribute HALSTEAD_EFFORT numeric
@attribute HALSTEAD_ERROR_EST numeric
@attribute HALSTEAD_LENGTH numeric
@attribute HALSTEAD_LEVEL numeric
@attribute HALSTEAD_PROG_TIME numeric
@attribute HALSTEAD_VOLUME numeric
@attribute MAINTENANCE_SEVERITY numeric
@attribute MODIFIED_CONDITION_COUNT numeric
@attribute MULTIPLE_CONDITION_COUNT numeric
@attribute NODE_COUNT numeric
@attribute NORMALIZED_CYLOMATIC_COMPLEXITY numeric
@attribute NUM_OPERANDS numeric
@attribute NUM_OPERATORS numeric
@attribute NUM_UNIQUE_OPERANDS numeric
@attribute NUM_UNIQUE_OPERATORS numeric
@attribute NUMBER_OF_LINES numeric
@attribute PERCENT_COMMENTS numeric
@attribute LOC_TOTAL numeric
@attribute c {FALSE,TRUE}

@data
25,5,7,25,0,28,9,37,47,84,437.59,0.17,5.95,2602.12,0.15,144.56,7,4,13,8,4,4,0.16,2,4,1,0.11,2,26,1,0,73.59,0.25,2,24,38,21.88,FALSE
37,5,2,36,1,32,16,75,86,161,899.18,0.05,18.75,16859.61,0.3,936.64,21,4,3,24,12,11,0.3,6,2,0.18,0.24,1,32,10,0,47.96,0.91,10,23,45,7.69,FALSE
9,2,4,9,0,6,9,10,17,27,105.49,0.13,7.5,791.15,0.04,43.95,5,4,0,8,4,3,0.33,2,1,0.33,0.19,0,10,1,0,14.06,0.33,2,9,16,30.77,FALSE
16,3,15,16,0,12,14,22,33,55,258.51,0.08,12.83,3317.73,0.09,184.32,5,4,3,8,4,3,0.19,2,2,0.67,0.09,2,13,1,0,20.14,0.33,2,12,35,48.39,TRUE
7,3,5,7,0,8,10,19,22,41,170.97,0.08,11.88,2030.23,0.06,112.79,5,4,2,8,4,3,0.43,2,2,0.67,0.19,0,13,1,0,14.4,0.33,2,12,16,41.67,FALSE
35,11,3,35,0,15,20,54,68,122,625.77,0.03,36,22527.81,0.21,1251.55,16,12,2,24,12,9,0.26,2,3,0.33,0.18,0,34,1,0,17.38,0.11,6,27,50,7.89,FALSE
13,3,3,13,0,12,10,17,24,41,182.84,0.14,7.08,1295.09,0.06,71.95,3,2,4,4,2,2,0.15,2,2,1,0.1,2,9,1,0,25.81,0.5,1,9,20,18.75,FALSE
26,10,14,26,0,24,13,37,48,85,442.8,0.1,10.02,4437.26,0.15,246.51,7,6,7,12,6,4,0.15,2,2,0.5,0.08,0,23,3,0,44.19,0.75,3,21,51,35,FALSE
42,10,13,42,0,37,22,71,91,162,952.99,0.05,21.11,20115.78,0.32,1117.54,19,12,8,28,14,10,0.24,2.33,7,0.7,0.15,2,43,7,0,45.15,0.7,8,35,66,23.64,FALSE
17,9,6,17,0,21,12,32,37,69,348.06,0.11,9.14,3182.29,0.12,176.79,5,4,7,8,4,3,0.18,2,3,1,0.09,2,16,1,0,38.07,0.33,2,15,33,26.09,FALSE
16,5,6,16,0,14,7,22,25,47,206.44,0.18,5.5,1135.41,0.07,63.08,5,4,3,8,4,3,0.19,2,3,1,0.11,2,13,1,0,37.53,0.33,2,12,28,27.27,FALSE
59,15,11,59,0,53,21,90,116,206,1279.15,0.06,17.83,22807.44,0.43,1267.08,31,20,10,50,25,16,0.27,2.5,10,0.63,0.19,0,70,13,0,71.74,0.81,15,56,86,15.71,TRUE
45,12,11,45,0,55,16,87,101,188,1156.15,0.08,12.65,14630.58,0.39,812.81,23,16,14,38,19,12,0.27,2.38,9,0.75,0.17,0,58,6,0,91.36,0.5,11,48,69,19.64,TRUE
44,15,13,44,0,40,14,94,98,192,1104.94,0.06,16.45,18176.24,0.37,1009.79,11,6,10,16,8,6,0.14,2.67,5,0.83,0.08,0,50,4,0,67.17,0.67,5,46,73,22.81,FALSE
10,2,0,10,0,16,13,27,28,55,267.19,0.09,10.97,2930.73,0.09,162.82,3,2,4,4,2,2,0.2,2,2,1,0.15,1,10,1,0,24.36,0.5,1,10,13,0,FALSE
48,9,13,48,0,32,26,117,129,246,1441.06,0.02,47.53,68495.54,0.48,3805.31,23,22,1,44,22,12,0.25,2,2,0.17,0.17,0,47,1,0,30.32,0.08,11,37,71,21.31,FALSE
9,1,1,9,0,4,6,5,11,16,53.15,0.27,3.75,199.32,0.02,11.07,3,2,0,4,2,2,0.22,2,1,0.5,0.17,0,6,1,0,14.17,0.5,1,6,12,10,FALSE
9,2,1,9,0,13,11,16,25,41,187.98,0.15,6.77,1272.5,0.06,70.69,7,2,5,8,4,4,0.44,4,2,0.5,0.31,0,16,4,1,27.77,1,3,14,13,10,FALSE
32,5,0,32,0,27,22,40,66,106,595.16,0.06,16.3,9698.89,0.2,538.83,10,4,6,8,4,7,0.22,2,7,1,0.18,0,23,1,0,36.52,0.14,2,18,38,0,FALSE
9,2,1,9,0,12,7,17,19,36,152.93,0.2,4.96,758.26,0.05,42.13,3,2,2,4,2,2,0.22,2,2,1,0.15,0,8,1,0,30.84,0.5,1,8,13,10,FALSE
25,1,0,9,16,31,7,53,56,109,572.02,0.17,5.98,3422.92,0.19,190.16,3,2,2,4,2,2,0.08,2,2,1,0.07,0,21,1,0,95.59,0.5,1,21,27,64,FALSE
49,11,0,49,0,36,27,86,115,201,1201.43,0.03,32.25,38746.22,0.4,2152.57,19,10,2,24,12,11,0.22,2.4,6,0.55,0.18,0,35,8,0,37.25,0.73,7,26,61,0,FALSE
14,5,7,14,0,13,14,20,26,46,218.72,0.09,10.77,2355.5,0.07,130.86,7,4,0,10,5,4,0.29,2.5,1,0.25,0.15,1,12,3,0,20.31,0.75,3,10,27,33.33,FALSE
12,3,6,12,0,15,13,27,32,59,283.63,0.09,11.7,3318.52,0.09,184.36,7,2,2,8,4,4,0.33,4,2,0.5,0.18,0,13,4,1,24.24,1,3,11,22,33.33,FALSE
6,0,1,6,0,6,11,8,14,22,89.92,0.14,7.33,659.44,0.03,36.64,3,2,1,4,2,2,0.33,2,2,1,0.25,3,6,1,0,12.26,0.5,1,6,8,14.29,FALSE
12,1,1,12,0,12,7,17,19,36,152.93,0.2,4.96,758.26,0.05,42.13,5,4,5,8,4,3,0.25,2,3,1,0.2,0,13,1,0,30.84,0.33,2,12,15,7.69,FALSE
17,5,0,17,0,15,12,22,28,50,237.74,0.11,8.8,2092.15,0.08,116.23,9,6,2,14,7,5,0.29,2.33,3,0.6,0.22,0,16,1,0,27.02,0.2,4,13,23,0,FALSE
11,2,0,11,0,10,11,14,16,30,131.77,0.13,7.7,1014.63,0.04,56.37,3,2,1,4,2,2,0.18,2,2,1,0.14,3,7,1,0,17.11,0.5,1,7,14,0,FALSE
17,2,3,17,0,15,11,24,42,66,310.23,0.11,8.8,2730.02,0.1,151.67,13,8,6,20,10,7,0.41,2.5,6,0.86,0.3,0,26,1,0,35.25,0.14,6,21,23,15,FALSE
17,3,6,17,0,17,10,19,28,47,223.48,0.18,5.59,1248.86,0.07,69.38,5,4,4,8,4,3,0.18,2,3,1,0.11,1,13,1,0,39.99,0.33,2,12,27,26.09,FALSE
33,10,14,33,0,33,9,59,66,125,674.04,0.12,8.05,5422.96,0.22,301.28,7,6,8,12,6,4,0.12,2,4,1,0.07,0,30,1,0,83.78,0.25,3,28,58,29.79,FALSE
48,20,42,40,8,34,20,63,86,149,857.48,0.05,18.53,15888.57,0.29,882.7,11,10,7,20,10,6,0.13,2,5,0.83,0.05,1,29,1,0,46.28,0.17,5,25,111,55.56,FALSE
23,6,7,23,0,22,17,35,52,87,459.83,0.07,13.52,6218.16,0.15,345.45,10,6,5,12,6,6,0.26,2,5,0.83,0.16,0,22,1,0,34,0.17,3,18,37,23.33,FALSE
13,5,3,13,0,22,9,28,31,59,292.3,0.17,5.73,1674.07,0.1,93,7,4,4,10,5,4,0.31,2.5,4,1,0.18,0,14,1,0,51.04,0.25,3,12,22,18.75,FALSE
13,1,0,13,0,11,7,14,15,29,120.93,0.22,4.45,538.68,0.04,29.93,3,2,3,4,2,2,0.15,2,2,1,0.13,0,8,1,0,27.15,0.5,1,8,15,0,FALSE
23,6,18,23,0,18,13,31,46,77,381.47,0.09,11.19,4270.38,0.13,237.24,5,4,6,8,4,3,0.13,2,3,1,0.06,2,19,1,0,34.08,0.33,2,18,48,43.9,FALSE
23,3,1,23,0,22,7,33,37,70,340.06,0.19,5.25,1785.31,0.11,99.18,5,4,6,8,4,3,0.13,2,3,1,0.11,0,18,1,0,64.76,0.33,2,17,28,4.17,FALSE
24,11,3,24,0,22,9,84,80,164,812.49,0.06,17.18,13960.02,0.27,775.56,3,2,3,4,2,2,0.08,2,2,1,0.05,0,18,1,0,47.29,0.5,1,18,39,11.11,FALSE
10,0,0,10,0,11,8,15,26,41,174.17,0.18,5.45,949.99,0.06,52.78,7,6,1,12,6,4,0.4,2,2,0.5,0.36,0,14,1,0,31.93,0.25,3,12,11,0,TRUE
12,1,0,12,0,11,15,24,27,51,239.72,0.06,16.36,3922.73,0.08,217.93,7,6,0,12,6,4,0.33,2,1,0.25,0.29,1,16,1,0,14.65,0.25,3,14,14,0,FALSE
4,0,0,4,0,3,8,4,9,13,44.97,0.19,5.33,239.85,0.01,13.33,3,2,0,4,2,2,0.5,2,1,0.5,0.4,1,5,1,0,8.43,0.5,1,5,5,0,FALSE
20,4,4,20,0,31,14,45,55,100,549.19,0.1,10.16,5580.43,0.18,310.02,3,2,9,4,2,2,0.1,2,2,1,0.07,3,13,1,0,54.05,0.5,1,13,29,16.67,FALSE
9,1,0,9,0,6,5,9,11,20,69.19,0.27,3.75,259.45,0.02,14.41,3,2,1,4,2,2,0.22,2,2,1,0.18,0,5,1,0,18.45,0.5,1,5,11,0,FALSE
100,20,9,100,0,94,40,223,303,526,3716.76,0.02,47.45,176348.54,1.24,9797.14,33,8,13,16,8,28,0.28,2,15,0.54,0.22,1,118,1,0,78.34,0.04,4,92,130,8.26,FALSE
7,0,0,7,0,9,7,9,12,21,84,0.29,3.5,294,0.03,16.32,3,2,3,4,2,2,0.29,2,2,1,0.25,0,7,1,0,24,0.5,1,7,8,0,FALSE
26,7,12,26,0,21,19,33,42,75,399.14,0.07,14.93,5958.66,0.13,331.04,15,12,4,26,13,8,0.31,2.17,4,0.5,0.17,4,30,5,0,26.74,0.63,7,24,46,31.58,FALSE
18,4,4,18,0,24,7,28,33,61,302.21,0.24,4.08,1234.01,0.1,68.56,5,4,10,8,4,3,0.17,2,3,1,0.11,0,21,1,0,74.01,0.33,2,20,27,18.18,FALSE
16,4,3,16,0,17,5,22,27,49,218.51,0.31,3.24,706.95,0.07,39.28,3,2,10,4,2,2,0.13,2,2,1,0.08,0,17,1,0,67.54,0.5,1,17,24,15.79,FALSE
28,10,3,28,0,38,9,56,66,122,677.66,0.15,6.63,4493.95,0.23,249.66,7,4,15,8,4,4,0.14,2,4,1,0.1,2,32,1,0,102.19,0.25,2,30,42,9.68,FALSE
28,8,12,28,0,19,13,47,52,99,495,0.06,16.07,7959.08,0.17,442.17,13,10,4,22,11,7,0.25,2.2,4,0.57,0.14,2,29,3,0,30.79,0.43,6,24,49,30,FALSE
11,7,21,11,0,13,11,21,25,46,210.91,0.11,8.88,1873.84,0.07,104.1,3,2,3,4,2,2,0.18,2,1,0.5,0.05,4,10,1,0,23.74,0.5,1,10,40,65.63,FALSE
11,2,0,11,0,8,13,36,49,85,373.35,0.03,29.25,10920.4,0.12,606.69,7,6,0,12,6,4,0.36,2,1,0.25,0.29,0,16,1,0,12.76,0.25,3,14,14,0,FALSE
36,9,13,36,0,43,18,61,79,140,830.3,0.08,12.77,10600.85,0.28,588.94,11,8,12,18,9,6,0.17,2.25,5,0.83,0.1,3,35,5,0,65.03,0.83,5,31,59,26.53,FALSE
13,2,0,13,0,20,9,30,33,63,306.05,0.15,6.75,2065.86,0.1,114.77,3,2,4,4,2,2,0.15,2,2,1,0.13,0,11,1,0,45.34,0.5,1,11,16,0,FALSE
54,14,8,54,0,41,13,70,85,155,892.01,0.09,11.1,9899.11,0.3,549.95,31,18,6,48,26,16,0.3,2.67,9,0.56,0.21,0,53,7,0,80.38,0.44,15,39,77,12.9,FALSE
16,6,4,16,0,15,11,20,32,52,244.42,0.14,7.33,1792.43,0.08,99.58,7,6,3,12,6,4,0.25,2,2,0.5,0.15,3,15,1,0,33.33,0.25,3,13,27,20,FALSE
40,10,12,40,0,38,19,67,80,147,857.43,0.06,16.75,14362.03,0.29,797.89,11,8,14,16,8,6,0.15,2,6,1,0.1,2,38,1,0,51.19,0.17,4,34,63,23.08,FALSE
10,0,2,10,0,17,7,21,28,49,224.66,0.23,4.32,971.34,0.07,53.96,11,4,9,14,7,6,0.6,3.5,6,1,0.46,0,23,1,0,51.96,0.17,5,19,13,16.67,FALSE
