%%-*- text -*-
%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
% This is a PROMISE data set made publicly available in order to encourage
% repeatable, verifiable, refutable, and/or improvable predictive models
% of software engineering.
%
% If you publish material based on PROMISE data sets then, please
% follow the acknowledgment guidelines posted on the PROMISE repository
% web page http://code.google.com/p/promisedata/ .
%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%

% 1. Title/Topic: PC4/ defect prediction
%
% (c) 2007 : Tim Menzies  : tim@menzies.us 
% This data set is distributed under the
% Creative Commons Attribution-Share Alike 3.0 License
% http://creativecommons.org/licenses/by-sa/3.0/
%
% You are free:
%
%    * to Share -- copy, distribute and transmit the work
%    * to Remix -- to adapt the work
%
% Under the following conditions:
%
% Attribution. You must attribute the work in the manner specified by
% the author or licensor (but not in any way that suggests that they endorse
% you or your use of the work).
%
% Share Alike. If you alter, transform, or build upon this work, you
% may distribute the resulting work only under the same, similar or a 
% compatible license.
%
%    * For any reuse or distribution, you must make clear to others the 
%      license terms of this work.
%    * Any of the above conditions can be waived if you get permission from 
%      the copyright holder.
%    * Apart from the remix rights granted under this license, nothing in 
%      this license impairs or restricts the author's moral rights.
 
% For more deatils on this data set, see 
% http://promisedata.org/repository/data/kc2/kc2.arff

@relation pc4
 
@attribute LOC_BLANK numeric
@attribute BRANCH_COUNT numeric
@attribute CALL_PAIRS numeric
@attribute LOC_CODE_AND_COMMENT numeric
@attribute LOC_COMMENTS numeric
@attribute CONDITION_COUNT numeric
@attribute CYCLOMATIC_COMPLEXITY numeric
@attribute CYCLOMATIC_DENSITY numeric
@attribute DECISION_COUNT numeric
@attribute DECISION_DENSITY numeric
@attribute DESIGN_COMPLEXITY numeric
@attribute DESIGN_DENSITY numeric
@attribute EDGE_COUNT numeric
@attribute ESSENTIAL_COMPLEXITY numeric
@attribute ESSENTIAL_DENSITY numeric
@attribute LOC_EXECUTABLE numeric
@attribute PARAMETER_COUNT numeric
@attribute HALSTEAD_CONTENT numeric
@attribute HALSTEAD_DIFFICULTY numeric
@attribute HALSTEAD_EFFORT numeric
@attribute HALSTEAD_ERROR_EST numeric
@attribute HALSTEAD_LENGTH numeric
@attribute HALSTEAD_LEVEL numeric
@attribute HALSTEAD_PROG_TIME numeric
@attribute HALSTEAD_VOLUME numeric
@attribute MAINTENANCE_SEVERITY numeric
@attribute MODIFIED_CONDITION_COUNT numeric
@attribute MULTIPLE_CONDITION_COUNT numeric
@attribute NODE_COUNT numeric
@attribute NORMALIZED_CYLOMATIC_COMPLEXITY numeric
@attribute NUM_OPERANDS numeric
@attribute NUM_OPERATORS numeric
@attribute NUM_UNIQUE_OPERANDS numeric
@attribute NUM_UNIQUE_OPERATORS numeric
@attribute NUMBER_OF_LINES numeric
@attribute PERCENT_COMMENTS numeric
@attribute LOC_TOTAL numeric
@attribute C {FALSE,TRUE}

@data
5,1,0,5,0,6,10,9,12,21,84,0.13,7.5,630,0.03,35,3,2,2,4,2,2,0.4,2,2,1,0.29,0,8,1,0,11.2,0.5,1,8,7,0,FALSE
14,2,3,13,1,12,15,20,26,46,218.72,0.08,12.5,2734.06,0.07,151.89,5,4,2,8,4,3,0.21,2,1,0.33,0.15,1,12,1,0,17.5,0.33,2,11,20,23.53,TRUE
14,0,0,14,0,11,10,27,31,58,254.75,0.08,12.27,3126.53,0.08,173.7,3,2,1,4,2,2,0.14,2,2,1,0.13,1,5,1,0,20.76,0.5,1,5,15,0,FALSE
20,2,0,20,0,17,11,24,29,53,254.79,0.13,7.76,1978.37,0.08,109.91,3,2,2,4,2,2,0.1,2,2,1,0.09,1,7,1,0,32.81,0.5,1,7,23,0,FALSE
55,19,0,55,0,39,26,59,100,159,957.56,0.05,19.67,18831.94,0.32,1046.22,17,2,13,4,2,15,0.27,2,14,0.93,0.2,1,35,1,0,48.69,0.07,1,22,75,0,FALSE
13,5,0,13,0,10,13,16,25,41,185.47,0.1,10.4,1928.85,0.06,107.16,7,4,0,10,5,4,0.31,2.5,1,0.25,0.21,2,12,4,1,17.83,1,3,10,19,0,FALSE
12,1,0,12,0,15,16,30,34,64,317.07,0.06,16,5073.1,0.11,281.84,5,4,3,8,4,3,0.25,2,3,1,0.21,2,11,1,0,19.82,0.33,2,10,14,0,FALSE
12,4,3,11,1,20,15,33,42,75,384.7,0.08,12.37,4760.62,0.13,264.48,5,4,1,8,4,3,0.25,2,2,0.67,0.15,0,9,1,0,31.09,0.33,2,8,20,26.67,FALSE
11,0,0,11,0,4,6,4,11,15,49.83,0.33,3,149.49,0.02,8.3,3,2,0,4,2,2,0.18,2,1,0.5,0.17,1,6,1,0,16.61,0.5,1,6,12,0,FALSE
13,1,1,13,0,11,16,32,38,70,332.84,0.04,23.27,7746.14,0.11,430.34,7,6,0,12,6,4,0.31,2,1,0.25,0.25,1,14,1,0,14.3,0.25,3,12,16,7.14,FALSE
40,16,2,36,4,35,25,65,100,165,974.64,0.04,23.21,22625.5,0.32,1256.97,15,4,9,12,6,9,0.23,3,7,0.78,0.15,0,33,5,0.5,41.98,0.56,4,26,59,14.29,FALSE
6,0,0,6,0,7,8,11,18,29,113.3,0.16,6.29,712.17,0.04,39.57,9,4,0,12,6,5,0.83,3,1,0.2,0.71,1,13,5,1,18.02,1,4,10,7,0,FALSE
70,18,7,68,2,49,30,183,224,407,2565.64,0.02,56.02,143728.13,0.86,7984.9,27,20,8,40,20,16,0.23,2,8,0.5,0.15,1,67,5,0.27,45.8,0.31,10,53,110,11.69,FALSE
11,1,0,11,0,10,8,16,18,34,141.78,0.16,6.4,907.38,0.05,50.41,3,2,1,4,2,2,0.18,2,2,1,0.15,1,8,1,0,22.15,0.5,1,8,13,0,FALSE
4,0,0,4,0,5,12,7,18,25,102.19,0.12,8.4,858.37,0.03,47.69,3,2,1,4,2,2,0.5,2,2,1,0.4,1,6,1,0,12.17,0.5,1,6,5,0,FALSE
