@relation PC3

@attribute LOC_BLANK numeric
@attribute BRANCH_COUNT numeric
@attribute CALL_PAIRS numeric
@attribute LOC_CODE_AND_COMMENT numeric
@attribute LOC_COMMENTS numeric
@attribute CONDITION_COUNT numeric
@attribute CYCLOMATIC_COMPLEXITY numeric
@attribute CYCLOMATIC_DENSITY numeric
@attribute DECISION_COUNT numeric
@attribute DECISION_DENSITY numeric
@attribute DESIGN_COMPLEXITY numeric
@attribute DESIGN_DENSITY numeric
@attribute EDGE_COUNT numeric
@attribute ESSENTIAL_COMPLEXITY numeric
@attribute ESSENTIAL_DENSITY numeric
@attribute LOC_EXECUTABLE numeric
@attribute PARAMETER_COUNT numeric
@attribute HALSTEAD_CONTENT numeric
@attribute HALSTEAD_DIFFICULTY numeric
@attribute HALSTEAD_EFFORT numeric
@attribute HALSTEAD_ERROR_EST numeric
@attribute HALSTEAD_LENGTH numeric
@attribute HALSTEAD_LEVEL numeric
@attribute HALSTEAD_PROG_TIME numeric
@attribute HALSTEAD_VOLUME numeric
@attribute MAINTENANCE_SEVERITY numeric
@attribute MODIFIED_CONDITION_COUNT numeric
@attribute MULTIPLE_CONDITION_COUNT numeric
@attribute NODE_COUNT numeric
@attribute NORMALIZED_CYLOMATIC_COMPLEXITY numeric
@attribute NUM_OPERANDS numeric
@attribute NUM_OPERATORS numeric
@attribute NUM_UNIQUE_OPERANDS numeric
@attribute NUM_UNIQUE_OPERATORS numeric
@attribute NUMBER_OF_LINES numeric
@attribute PERCENT_COMMENTS numeric
@attribute LOC_TOTAL numeric
@attribute Defective {FALSE,TRUE}

@data
29,16,11,23,6,31,21,68,81,149,849.37,0.04,23.03,19562.81,0.28,1086.82,13,8,1,20,10,7,0.24,2.5,3,0.43,0.12,0,22,6,0.83,36.88,0.86,6,17,57,42.5,FALSE
14,2,7,14,0,5,8,9,22,31,114.71,0.14,7.2,825.94,0.04,45.89,7,4,0,10,5,4,0.29,2.5,1,0.25,0.17,0,11,4,1,15.93,1,3,9,24,33.33,TRUE
19,1,0,19,0,19,19,38,53,91,477.56,0.05,19,9073.67,0.16,504.09,13,10,5,22,11,7,0.37,2.2,4,0.57,0.33,1,28,7,1,25.13,1,6,23,21,0,FALSE
14,8,1,14,0,19,13,32,38,70,350,0.09,10.95,3831.58,0.12,212.87,3,2,1,4,2,2,0.14,2,2,1,0.08,1,6,1,0,31.97,0.5,1,6,24,6.67,FALSE
20,1,1,19,1,19,14,27,33,60,302.66,0.1,9.95,3010.71,0.1,167.26,5,2,2,6,3,3,0.15,3,2,0.67,0.13,1,10,3,1,30.43,1,2,9,23,9.52,FALSE
29,14,14,29,0,31,19,69,92,161,908.66,0.05,21.15,19213.78,0.3,1067.43,11,10,7,20,10,6,0.21,2,1,0.17,0.1,0,29,1,0,42.97,0.17,5,25,58,32.56,FALSE
13,6,1,12,1,15,14,24,34,58,281.76,0.09,11.2,3155.74,0.09,175.32,5,4,3,8,4,3,0.23,2,2,0.67,0.14,2,11,1,0,25.16,0.33,2,10,21,14.29,FALSE
54,20,19,54,0,45,24,71,105,176,1075.1,0.05,18.93,20355.23,0.36,1130.85,13,6,13,12,6,9,0.17,2,9,1,0.1,0,35,1,0,56.78,0.11,3,28,94,26.03,FALSE
6,6,3,5,1,8,12,15,17,32,138.3,0.09,11.25,1555.89,0.05,86.44,5,4,1,8,4,3,0.5,2,2,0.67,0.19,2,9,1,0,12.29,0.33,2,8,16,44.44,FALSE
45,33,23,33,12,36,22,53,80,133,779.11,0.06,16.19,12617.28,0.26,700.96,16,6,9,16,8,10,0.22,2.67,8,0.8,0.1,0,33,5,0.44,48.11,0.5,5,25,102,51.47,FALSE
7,1,0,7,0,7,11,10,16,26,108.42,0.13,7.86,851.86,0.04,47.33,5,2,1,6,3,3,0.43,3,2,0.67,0.33,1,9,3,1,13.8,1,2,8,9,0,FALSE
4,0,0,4,0,4,7,6,7,13,44.97,0.19,5.25,236.11,0.01,13.12,3,2,1,4,2,2,0.5,2,2,1,0.4,0,7,1,0,8.57,0.5,1,7,5,0,FALSE
15,2,1,14,1,20,12,39,40,79,395,0.09,11.7,4621.5,0.13,256.75,5,4,3,8,4,3,0.2,2,3,1,0.16,0,15,1,0,33.76,0.33,2,14,19,12.5,FALSE
30,13,8,26,4,32,13,110,118,228,1252.14,0.04,22.34,27977.56,0.42,1554.31,11,10,1,20,10,6,0.2,2,2,0.33,0.12,1,23,1,0,56.04,0.17,5,19,52,31.58,FALSE
26,1,0,26,0,34,22,107,117,224,1300.85,0.03,34.62,45032.28,0.43,2501.79,35,18,6,52,26,18,0.69,2.89,6,0.33,0.64,0,58,13,0.71,37.58,0.72,17,42,28,0,FALSE
186,57,8,179,7,148,33,438,543,981,7357.35,0.02,48.83,359267.3,2.45,19959.29,129,124,24,252,126,65,0.35,2.02,41,0.63,0.26,2,276,34,0.52,150.67,0.52,64,213,252,7.73,FALSE
23,6,0,23,0,15,17,30,46,76,380,0.06,17,6460,0.13,358.89,9,8,0,16,8,5,0.22,2,1,0.2,0.17,2,17,5,1,22.35,1,4,14,30,0,FALSE
29,5,4,28,1,32,21,79,96,175,1002.39,0.04,25.92,25983.73,0.33,1443.54,10,4,5,10,5,6,0.21,2.5,5,0.83,0.15,1,23,1,0,38.67,0.17,3,19,39,15.15,FALSE
15,5,1,14,1,10,11,18,25,43,188.87,0.1,9.9,1869.81,0.06,103.88,5,4,3,8,4,3,0.2,2,3,1,0.14,0,14,1,0,19.08,0.33,2,13,22,12.5,FALSE
27,22,19,23,4,39,19,74,81,155,907.99,0.06,18.03,16367.05,0.3,909.28,23,18,1,40,20,12,0.44,2.22,6,0.5,0.17,1,42,4,0.27,50.37,0.33,11,32,69,50,TRUE
26,1,0,26,0,26,19,59,126,185,1015.99,0.05,21.56,21902.46,0.34,1216.8,7,6,0,12,6,4,0.15,2,1,0.25,0.14,1,14,1,0,47.13,0.25,3,12,28,0,FALSE
22,0,0,22,0,20,13,37,43,80,403.55,0.08,12.02,4852.71,0.13,269.59,11,10,3,20,10,6,0.27,2,4,0.67,0.26,0,26,1,0,33.56,0.17,5,22,23,0,FALSE
8,1,0,8,0,6,10,10,16,26,104,0.12,8.33,866.67,0.03,48.15,3,2,0,4,2,2,0.25,2,1,0.5,0.2,1,6,1,0,12.48,0.5,1,6,10,0,FALSE
10,1,0,10,0,4,13,15,26,41,167.59,0.04,24.38,4084.91,0.06,226.94,7,6,0,12,6,4,0.4,2,1,0.25,0.33,2,15,1,0,6.88,0.25,3,13,12,0,FALSE
20,2,0,20,0,16,16,33,46,79,395,0.06,16.5,6517.5,0.13,362.08,9,4,5,12,6,5,0.25,3,5,1,0.22,2,18,4,0.75,23.94,0.8,4,15,23,0,FALSE
23,13,5,23,0,18,14,60,74,134,670,0.04,23.33,15633.33,0.22,868.52,9,8,0,16,8,5,0.22,2,1,0.2,0.12,0,18,5,1,28.71,1,4,15,42,17.86,FALSE
27,1,0,27,0,15,19,31,42,73,371.38,0.05,19.63,7291.52,0.12,405.08,13,10,2,22,11,7,0.26,2.2,3,0.43,0.24,2,24,1,0,18.92,0.14,6,19,29,0,FALSE
61,24,14,54,7,51,18,126,148,274,1673.74,0.04,22.24,37216.01,0.56,2067.56,15,12,4,26,13,8,0.13,2.17,7,0.88,0.08,0,37,4,0.43,75.27,0.5,7,31,100,28,FALSE
45,15,2,31,14,44,26,151,295,446,2733.66,0.02,44.61,121958.52,0.91,6775.47,9,6,4,14,7,5,0.11,2.33,3,0.6,0.08,1,21,3,0.5,61.27,0.6,4,18,63,34.04,FALSE
17,0,0,17,0,13,10,29,35,64,289.51,0.09,11.15,3229.13,0.1,179.4,7,6,2,12,6,4,0.24,2,3,0.75,0.22,2,13,1,0,25.96,0.25,3,11,18,0,FALSE
5,0,0,5,0,4,9,15,18,33,122.11,0.06,16.88,2060.67,0.04,114.48,3,2,0,4,2,2,0.4,2,1,0.5,0.33,1,5,1,0,7.24,0.5,1,5,6,0,FALSE
11,1,0,11,0,5,12,17,25,42,171.67,0.05,20.4,3502.14,0.06,194.56,9,8,0,16,8,5,0.45,2,1,0.2,0.38,2,18,5,1,8.42,1,4,15,13,0,FALSE
0,0,0,0,0,4,6,4,8,12,39.86,0.33,3,119.59,0.01,6.64,3,2,0,4,2,2,1,2,1,0.5,2,2,6,1,0,13.29,0.5,1,6,1,0,FALSE
10,6,3,10,0,10,11,14,22,36,158.12,0.13,7.7,1217.55,0.05,67.64,3,2,0,4,2,2,0.2,2,1,0.5,0.1,1,6,1,0,20.54,0.5,1,6,20,23.08,FALSE
13,18,0,13,0,11,16,17,26,43,204.46,0.08,12.36,2527.87,0.07,140.44,9,4,1,12,6,5,0.38,3,2,0.4,0.16,2,14,5,1,16.54,1,4,11,32,0,FALSE
4,0,0,4,0,4,9,6,17,23,85.11,0.15,6.75,574.49,0.03,31.92,5,4,2,8,4,3,0.75,2,3,1,0.6,0,10,3,1,12.61,1,2,9,5,0,FALSE
32,18,9,29,3,36,17,79,94,173,990.93,0.05,18.65,18483.6,0.33,1026.86,19,12,2,30,15,10,0.31,2.5,5,0.5,0.17,0,32,7,0.67,53.13,0.7,9,24,60,29.27,FALSE
23,3,1,22,1,21,14,35,46,81,415.47,0.09,11.67,4847.17,0.14,269.29,5,4,5,8,4,3,0.13,2,3,1,0.11,4,12,3,1,35.61,1,2,11,28,8.33,FALSE
4,3,0,4,0,6,8,11,11,22,83.76,0.14,7.33,614.25,0.03,34.13,3,2,0,4,2,2,0.5,2,1,0.5,0.25,2,6,1,0,11.42,0.5,1,6,8,0,FALSE
9,5,6,8,1,6,6,8,14,22,78.87,0.25,4,315.48,0.03,17.53,3,2,2,4,2,2,0.22,2,2,1,0.1,0,8,1,0,19.72,0.5,1,8,21,46.67,FALSE
58,36,27,48,10,59,21,109,134,243,1536.23,0.05,19.4,29800.23,0.51,1655.57,13,10,3,22,11,7,0.12,2.2,6,0.86,0.06,1,28,6,0.83,79.19,0.86,6,23,122,43.53,TRUE
17,1,1,17,0,10,15,53,58,111,515.47,0.03,39.75,20489.85,0.17,1138.33,13,12,1,24,12,7,0.41,2,3,0.43,0.35,3,25,1,0,12.97,0.14,6,20,20,5.56,FALSE
22,17,7,18,4,22,16,37,57,94,493.31,0.07,13.45,6637.2,0.16,368.73,11,6,1,16,8,6,0.27,2.67,3,0.5,0.13,1,18,6,1,36.66,1,5,14,47,37.93,TRUE
6,4,0,6,0,9,14,11,17,28,126.66,0.12,8.56,1083.64,0.04,60.2,3,2,0,4,2,2,0.33,2,1,0.5,0.18,1,5,1,0,14.8,0.5,1,5,11,0,FALSE
13,4,6,13,0,9,10,20,24,44,186.91,0.09,11.11,2076.76,0.06,115.38,5,4,0,8,4,3,0.23,2,1,0.33,0.13,0,12,1,0,16.82,0.33,2,11,24,31.58,FALSE
8,1,0,8,0,7,13,16,21,37,159.91,0.07,14.86,2375.83,0.05,131.99,5,4,1,8,4,3,0.38,2,2,0.67,0.3,1,10,3,1,10.76,1,2,9,10,0,FALSE
