%%-*- text -*-
%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
% This is a PROMISE data set made publicly available in order to encourage
% repeatable, verifiable, refutable, and/or improvable predictive models
% of software engineering.
%
% If you publish material based on PROMISE data sets then, please
% follow the acknowledgment guidelines posted on the PROMISE repository
% web page http://code.google.com/p/promisedata/ .
%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%

% 1. Title/Topic: PC4/ defect prediction
%
% (c) 2007 : Tim Menzies  : tim@menzies.us 
% This data set is distributed under the
% Creative Commons Attribution-Share Alike 3.0 License
% http://creativecommons.org/licenses/by-sa/3.0/
%
% You are free:
%
%    * to Share -- copy, distribute and transmit the work
%    * to Remix -- to adapt the work
%
% Under the following conditions:
%
% Attribution. You must attribute the work in the manner specified by
% the author or licensor (but not in any way that suggests that they endorse
% you or your use of the work).
%
% Share Alike. If you alter, transform, or build upon this work, you
% may distribute the resulting work only under the same, similar or a 
% compatible license.
%
%    * For any reuse or distribution, you must make clear to others the 
%      license terms of this work.
%    * Any of the above conditions can be waived if you get permission from 
%      the copyright holder.
%    * Apart from the remix rights granted under this license, nothing in 
%      this license impairs or restricts the author's moral rights.
 
% For more deatils on this data set, see 
% http://promisedata.org/repository/data/kc2/kc2.arff

@relation pc4
 
@attribute LOC_BLANK numeric
@attribute BRANCH_COUNT numeric
@attribute CALL_PAIRS numeric
@attribute LOC_CODE_AND_COMMENT numeric
@attribute LOC_COMMENTS numeric
@attribute CONDITION_COUNT numeric
@attribute CYCLOMATIC_COMPLEXITY numeric
@attribute CYCLOMATIC_DENSITY numeric
@attribute DECISION_COUNT numeric
@attribute DECISION_DENSITY numeric
@attribute DESIGN_COMPLEXITY numeric
@attribute DESIGN_DENSITY numeric
@attribute EDGE_COUNT numeric
@attribute ESSENTIAL_COMPLEXITY numeric
@attribute ESSENTIAL_DENSITY numeric
@attribute LOC_EXECUTABLE numeric
@attribute PARAMETER_COUNT numeric
@attribute HALSTEAD_CONTENT numeric
@attribute HALSTEAD_DIFFICULTY numeric
@attribute HALSTEAD_EFFORT numeric
@attribute HALSTEAD_ERROR_EST numeric
@attribute HALSTEAD_LENGTH numeric
@attribute HALSTEAD_LEVEL numeric
@attribute HALSTEAD_PROG_TIME numeric
@attribute HALSTEAD_VOLUME numeric
@attribute MAINTENANCE_SEVERITY numeric
@attribute MODIFIED_CONDITION_COUNT numeric
@attribute MULTIPLE_CONDITION_COUNT numeric
@attribute NODE_COUNT numeric
@attribute NORMALIZED_CYLOMATIC_COMPLEXITY numeric
@attribute NUM_OPERANDS numeric
@attribute NUM_OPERATORS numeric
@attribute NUM_UNIQUE_OPERANDS numeric
@attribute NUM_UNIQUE_OPERATORS numeric
@attribute NUMBER_OF_LINES numeric
@attribute PERCENT_COMMENTS numeric
@attribute LOC_TOTAL numeric
@attribute c {FALSE,TRUE}

@data


24,17,8,22,2,23,12,53,49,102,523.19,0.07,13.83,7233.63,0.17,401.87,11,10,5,20,10,6,0.25,2,4,0.67,0.11,7,29,1,0,37.84,0.17,5,25,57,31.25,FALSE
9,2,1,9,0,7,14,13,24,37,162.52,0.08,13,2112.7,0.05,117.37,9,6,3,16,8,5,0.56,2,3,0.6,0.36,1,17,4,0,12.5,0.8,5,14,14,10,FALSE
18,2,1,17,1,9,14,16,28,44,199.04,0.08,12.44,2476.9,0.07,137.61,5,2,1,6,3,3,0.17,3,2,0.67,0.13,1,8,3,1,15.99,1,2,7,23,10.53,FALSE
10,4,0,10,0,10,9,13,16,29,123.19,0.17,5.85,720.66,0.04,40.04,5,4,1,8,4,3,0.3,2,2,0.67,0.19,0,11,1,0,21.06,0.33,2,10,16,0,FALSE
20,7,0,17,3,7,7,26,46,72,274.13,0.08,13,3563.68,0.09,197.98,5,0,1,0,0,3,0.15,0,1,0.33,0.11,2,11,1,0,21.09,0.33,0,10,28,15,FALSE
13,5,0,13,0,10,12,24,65,89,396.89,0.07,14.4,5715.21,0.13,317.51,11,10,5,20,10,6,0.46,2,5,0.83,0.25,0,26,1,0,27.56,0.17,5,22,24,0,FALSE
3,2,0,3,0,2,5,2,6,8,22.46,0.4,2.5,56.15,0.01,3.12,1,0,0,0,0,1,0.33,0,1,1,0.14,0,1,1,0,8.98,1,0,2,7,0,FALSE
9,2,0,9,0,8,15,11,18,29,131.18,0.1,10.31,1352.83,0.04,75.16,5,0,0,0,0,3,0.33,0,1,0.33,0.23,1,9,1,0,12.72,0.33,0,8,13,0,FALSE
69,36,43,51,18,11,21,92,187,279,1395,0.01,87.82,122506.36,0.47,6805.91,21,18,1,38,19,11,0.16,2,3,0.27,0.07,0,42,1,0,15.89,0.09,10,33,150,54.46,TRUE
18,1,0,18,0,19,12,54,55,109,540.01,0.06,17.05,9208.55,0.18,511.59,9,0,3,0,0,5,0.28,0,5,1,0.24,0,24,1,0,31.67,0.2,0,21,21,0,FALSE
12,6,4,11,1,9,18,29,46,75,356.62,0.03,29,10341.88,0.12,574.55,5,4,1,8,4,3,0.25,2,1,0.33,0.13,1,11,1,0,12.3,0.33,2,10,24,31.25,FALSE
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,0,8,0,0,35,1,0,11,0.31,0.44,3,141,19,0,0,0.54,0,108,80,0,FALSE
22,1,19,21,1,12,18,33,106,139,682.06,0.04,24.75,16880.93,0.23,937.83,3,2,1,4,2,2,0.09,2,1,0.5,0.04,2,6,1,0,27.56,0.5,1,6,45,48.78,FALSE
29,10,3,28,1,7,13,27,54,81,350.08,0.04,25.07,8776.91,0.12,487.61,17,14,1,30,15,9,0.31,2,5,0.56,0.2,0,31,7,0,13.96,0.78,8,24,44,12.5,FALSE
19,4,8,19,0,21,18,42,78,120,634.25,0.06,18,11416.47,0.21,634.25,5,4,1,8,4,3,0.16,2,1,0.33,0.09,0,11,1,0,35.24,0.33,2,10,33,29.63,FALSE
