@relation ivy-2.0.arff

@attribute wmc numeric
@attribute dit numeric
@attribute noc numeric
@attribute cbo numeric
@attribute rfc numeric
@attribute lcom numeric
@attribute ca numeric
@attribute ce numeric
@attribute npm numeric
@attribute lcom3 numeric
@attribute loc numeric
@attribute dam numeric
@attribute moa numeric
@attribute mfa numeric
@attribute cam numeric
@attribute ic numeric
@attribute cbm numeric
@attribute amc numeric
@attribute max_cc numeric
@attribute avg_cc numeric
@attribute bug {-1,1}

@data
28,1,0,32,82,374,26,7,24,1.012346,926,0.166667,0,0,0.226337,0,0,31.642857,23,2.678600,1
6,1,2,3,7,3,2,1,4,0.600000,36,1,0,0,0.444444,0,0,4.666667,1,0.666700,-1
4,2,0,5,6,4,1,4,2,0.666667,21,1,1,0.500000,0.500000,0,0,4,1,0.500000,-1
4,1,0,9,4,6,9,0,4,2,4,0,0,0,0.666667,0,0,0,1,1,-1
1,1,0,8,1,0,6,2,1,2,1,0,0,0,1,0,0,0,1,1,-1
23,2,0,150,67,235,147,5,20,0.852273,653,0.750000,1,0.280000,0.280303,1,1,26.869565,9,1.869600,1
5,1,0,8,26,0,1,7,4,0.625000,127,1,2,0,0.314286,0,0,23.600000,4,1.600000,-1
25,4,0,18,73,200,1,0,18,0.854167,666,1,0,0.736264,0.380000,0,0,25.320000,13,1.920000,1
7,1,0,2,13,0,1,1,7,0.694444,86,1,0,0,0.571429,0,0,10.428571,1,0.857100,-1
21,1,0,7,22,154,5,2,21,0.905000,141,1,2,0,0.184524,0,0,5.238095,1,0.952400,-1
2,2,0,2,4,1,1,1,2,2,11,0,0,0.666667,0.666667,1,1,4.500000,1,0.500000,-1
8,1,0,10,21,28,5,5,7,2,130,0,0,0,0.312500,0,0,15.250000,5,2.625000,-1
32,4,0,16,81,406,2,0,27,0.925558,504,1,0,0.683673,0.300000,1,3,14.343750,1,0.968800,-1
13,1,2,4,44,70,2,2,9,0.833333,208,1,0,0,0.562500,0,0,14.846154,1,0.846200,-1
19,1,0,8,42,99,2,7,3,0.788889,329,1,1,0,0.263158,0,0,16.052632,5,1.578900,1
2,1,0,6,21,1,3,3,1,2,144,0,0,0,0.500000,0,0,71,10,5,-1
1,1,0,4,1,0,2,2,1,2,1,0,0,0,1,0,0,0,1,1,-1
25,1,0,10,58,234,6,4,23,0.591667,257,1,1,0,0.320000,0,0,9.080000,2,1.160000,-1
8,1,0,12,29,0,7,5,8,0,126,1,1,0,0.416667,0,0,14.625000,1,0.875000,-1
5,1,1,26,11,0,24,2,5,0.375000,41,1,1,0,0.466667,0,0,6.800000,1,0.800000,-1
3,1,2,7,8,3,7,0,3,2,34,0,0,0,0.777778,0,0,10.333333,1,0.666700,-1
4,3,0,6,10,4,1,5,1,0.666667,27,1,1,0.714286,0.500000,1,1,5.500000,1,0.500000,-1
5,1,1,6,6,0,5,1,5,0.500000,32,1,1,0,0.466667,0,0,5,1,0.800000,-1
2,1,0,4,3,1,4,1,1,1,8,0,1,0,1,0,0,2.500000,1,0.500000,-1
1,1,0,4,1,0,3,1,1,2,1,0,0,0,1,0,0,0,1,1,-1
10,1,0,27,19,15,25,2,10,0.755556,138,1,1,0,0.233333,1,1,12.300000,6,1.900000,-1
12,5,0,3,25,66,0,0,12,2,67,0,0,0.938889,0.472222,1,1,4.583333,1,0.916700,-1
5,1,0,14,21,0,11,3,5,0,75,1,0,0,0.400000,0,0,13.800000,2,1,-1
54,2,0,17,137,1241,7,0,16,0.943951,1589,1,1,0.277778,0.205451,0,0,27.796296,5,1.203700,-1
5,3,0,4,9,2,1,3,5,0.850000,61,0.800000,0,0.777778,0.333333,0,0,10.200000,1,0.800000,-1
37,6,0,26,120,570,2,26,24,0.848765,1123,0.666667,0,0.825243,0.120120,4,18,29.108108,9,2.567600,1
10,1,3,9,15,29,3,6,8,0.777778,67,1,1,0,0.650000,0,0,5.300000,2,1,-1
8,2,0,6,32,20,0,6,4,0.500000,221,1,0,0.461538,0.400000,0,0,26.375000,5,2,-1
2,2,2,4,5,0,2,2,1,0,19,1,1,0.923077,0.625000,0,0,8,1,0.500000,-1
20,1,0,8,29,108,5,3,20,0.809211,188,1,1,0,0.235714,0,0,8,1,0.900000,-1
3,1,2,3,4,1,2,1,2,0,16,1,0,0,0.666667,0,0,4,1,0.666700,-1
3,1,0,9,23,0,1,8,2,0,125,1,2,0,0.444444,0,0,39.666667,1,0.666700,-1
8,1,0,32,104,8,4,29,3,0.809524,955,1,2,0,0.312500,0,0,118,4,1.500000,1
8,2,0,16,52,16,2,0,5,0.666667,336,1,1,0.740741,0.468750,1,1,40.625000,2,1,-1
7,3,0,5,20,9,3,4,5,0.733333,110,1,0,0.583333,0.333333,0,0,14,3,1,-1
3,5,2,16,38,3,2,0,1,2,159,0,0,0.981132,1,0,0,52,1,0.666700,-1
5,6,0,6,24,2,0,0,5,0.625000,88,1,0,0.963636,0.700000,2,2,16.200000,1,0.800000,-1
9,3,0,20,71,36,1,20,5,2,476,0,0,0.631579,0.296296,0,0,51.888889,9,3.111100,-1
16,1,0,27,123,120,5,23,2,2,1851,0,0,0,0.204545,0,0,114.687500,20,5.937500,-1
