@relation jedit-4.1.arff

@attribute wmc numeric
@attribute dit numeric
@attribute noc numeric
@attribute cbo numeric
@attribute rfc numeric
@attribute lcom numeric
@attribute ca numeric
@attribute ce numeric
@attribute npm numeric
@attribute lcom3 numeric
@attribute loc numeric
@attribute dam numeric
@attribute moa numeric
@attribute mfa numeric
@attribute cam numeric
@attribute ic numeric
@attribute cbm numeric
@attribute amc numeric
@attribute max_cc numeric
@attribute avg_cc numeric
@attribute bug {-1,1}

@data
4,3,0,8,12,0,2,6,4,0.625000,182,1,1,0.833333,0.325000,1,4,42.500000,12,3.500000,-1
23,6,0,8,74,217,4,7,6,0.842975,521,0.909091,3,0.968750,0.166008,3,4,21.173913,8,1.956500,1
3,2,0,14,10,3,5,9,2,2,71,0,0,0.900000,0.600000,1,1,22.666667,1,0.666700,-1
47,1,0,101,173,1049,88,23,41,0.949275,2031,0.222222,1,0,0.118012,0,0,42.021277,16,3.702100,1
1,1,0,32,1,0,32,1,1,2,1,0,0,0,1,0,0,0,1,1,-1
4,1,0,6,16,0,5,1,3,1.095238,218,1,0,0,0.333333,0,0,51.750000,62,20.500000,1
2,2,0,8,8,1,1,7,1,2,50,0,0,0.947368,0.625000,1,1,24,1,0.500000,-1
21,5,0,36,139,74,23,21,14,0.566667,785,1,5,0.970282,0.206349,1,1,36.095238,29,3.238100,1
8,6,0,6,31,20,4,4,1,0.761905,121,0.666667,1,0.991111,0.500000,4,12,13.750000,1,0.750000,-1
6,1,11,31,13,9,31,1,6,0.400000,45,1,1,0,0.583333,0,0,6.333333,1,0.833300,-1
14,6,0,14,87,51,5,13,1,0.817308,497,1,1,0.980938,0.500000,4,12,33.928571,3,1.428600,1
3,7,0,5,27,3,1,5,3,1,110,1,0,0.996960,0.666667,0,0,35.333333,1,0.666700,1
4,2,0,2,6,0,2,0,3,2,83,0,0,0.842105,0.562500,1,11,19.750000,3,1.250000,-1
22,1,0,29,95,137,9,22,16,0.785714,1219,0.666667,2,0,0.209524,0,0,54.136364,14,2.045500,1
5,2,0,6,13,4,4,3,4,0.875000,52,0.250000,0,0.500000,0.500000,1,1,8.600000,1,0.600000,-1
7,5,0,15,59,5,4,15,2,0.633333,389,1,1,0.990895,0.371429,0,0,53.857143,8,2,-1
4,2,0,7,20,0,1,6,3,0,79,1,0,0.700000,0.500000,1,1,18.500000,3,1.250000,-1
14,1,0,8,32,29,6,7,11,0.653846,485,1,3,0,0.223214,0,0,33.071429,8,3.500000,1
1,1,0,10,2,0,9,1,1,2,12,0,0,0,1,0,0,9,0,0,-1
4,5,0,6,17,0,4,5,2,0.500000,61,1,1,0.995856,0.416667,0,0,13.750000,2,1,-1
27,1,0,7,39,87,3,6,19,0.873932,1342,1,3,0,0.230453,0,0,48.037037,15,3.925900,1
1,1,0,8,1,0,7,1,1,2,1,0,0,0,1,0,0,0,1,1,-1
1,2,0,4,2,0,2,2,1,2,5,0,0,1,1,0,0,4,0,0,-1
6,1,0,4,7,0,3,1,6,0.133333,118,1,0,0,0.500000,0,0,18.166667,4,2,-1
19,6,0,12,60,125,11,8,7,0.916667,336,1,1,0.973094,0.197368,3,6,16.157895,3,1.052600,-1
8,1,0,15,32,0,8,9,3,0.766234,356,0,1,0,0.375000,0,0,42.125000,1,0.375000,-1
3,2,0,4,8,0,1,3,0,0.750000,151,0.500000,0,0.777778,0.444444,1,2,48,18,7.333300,-1
5,6,0,7,34,2,3,6,1,0.800000,202,1,2,0.993893,0.350000,0,0,38.400000,1,0.800000,-1
3,2,0,9,7,1,3,6,1,1,30,0,0,0.947368,0.666667,1,2,8,1,0.333300,-1
2,2,0,10,7,1,1,9,1,1,79,0,0,0.947368,0.625000,1,1,38,1,0.500000,-1
2,2,0,1,5,1,0,1,2,2,14,0,0,0.923077,0.750000,0,0,6,1,0.500000,-1
3,1,0,29,3,3,29,0,3,1.500000,4,0,0,0,0.833333,0,0,0,1,1,-1
11,1,3,7,29,33,6,5,8,0.633333,141,0.666667,0,0,0.185714,0,0,11.545455,3,1.454500,1
9,1,0,12,45,8,10,3,8,0.687500,294,0.833333,0,0,0.333333,0,0,31,10,3,1
7,2,0,4,21,0,1,3,0,0.541667,300,1,1,0.538462,0.333333,1,3,41.285714,16,4.714300,-1
6,1,0,3,11,9,1,3,5,0.488889,135,1,3,0,0.333333,0,0,20,6,1.666700,-1
6,2,0,16,14,3,8,8,5,0.666667,92,1,0,0.782609,0.444444,0,0,13.833333,1,0.833300,-1
5,2,0,5,22,0,1,4,0,0.125000,206,1,0,0.700000,0.350000,1,3,39.800000,11,4,-1
4,2,0,10,21,2,2,8,3,0.555556,176,0.333333,0,0.857143,0.500000,1,1,42.250000,1,0.750000,-1
8,2,0,9,21,0,2,7,6,0.285714,167,1,0,0.695652,0.406250,1,2,19.750000,4,1.875000,-1
4,1,0,2,7,0,1,1,3,0.222222,62,1,0,0,0.666667,0,0,13.750000,3,1.750000,-1
12,2,0,8,32,0,4,5,7,0.272727,176,0,0,0.615385,0.350000,1,2,13.583333,4,1.750000,-1
15,1,0,12,50,105,8,5,14,1.071429,913,0.428571,0,0,0.237037,0,0,59.400000,29,7.266700,-1
8,1,2,11,11,26,10,2,7,0.857143,28,1,1,0,0.275000,0,0,2.375000,1,0.875000,-1
5,2,0,15,25,10,2,13,1,1.071429,162,0,0,0.818182,0.720000,0,0,30,1,0.800000,-1
64,5,0,51,212,1606,26,36,29,0.942356,1917,0.684211,5,0.913287,0.139063,3,12,28.359375,21,2.359400,1
12,6,0,8,49,40,3,7,3,0.858586,342,1,1,0.983824,0.500000,4,10,26.750000,5,1.500000,1
10,1,0,8,28,3,7,2,8,0.666667,230,1,1,0,0.350000,0,0,21.500000,5,1.800000,1
11,2,0,7,28,25,3,6,9,0.750000,161,0.500000,0,0.615385,0.386364,1,2,13.454545,5,2.272700,-1
16,2,0,14,111,24,8,9,8,0.818182,1304,0.636364,1,0.831169,0.373333,1,7,79.812500,14,2.687500,1
5,6,19,22,16,10,22,3,4,0.500000,56,1,1,0.995413,0.440000,0,0,10,1,0.600000,-1
28,5,0,25,136,184,14,20,12,0.831909,868,1,4,0.960294,0.145604,1,4,29.535714,15,2.357100,1
2,2,0,7,5,1,2,5,2,1,22,0,0,0.947368,0.625000,1,1,9.500000,1,0.500000,-1
5,3,0,6,6,2,6,0,5,0.750000,36,1,0,0.809524,0.466667,1,1,5.400000,1,0.800000,-1
1,2,0,8,2,0,6,2,1,2,5,0,0,1,1,0,0,4,0,0,-1
14,5,17,20,32,67,18,2,12,0.711538,395,1,0,0.980480,0.446429,0,0,26.928571,2,1.214300,-1
8,1,13,15,9,12,13,2,0,0.761905,65,1,2,0,0.354167,0,0,6.750000,3,1.250000,-1
4,4,0,2,24,0,1,1,3,0.444444,195,1,0,0.995378,0.375000,1,3,46.250000,2,1.250000,1
3,3,0,3,7,3,0,3,3,2,33,0,0,1,0.750000,0,0,10,0,0,-1
27,1,0,20,102,291,6,17,22,0.875000,755,0.875000,2,0,0.125874,0,0,26.666667,12,2.518500,1
8,1,2,5,12,8,2,3,7,0.428571,149,1,0,0,0.437500,0,0,17.500000,9,2.875000,1
